Contract ID,Vendor Name,Start Date,End Date,Services Provided,Annual Spend,Features,Software Provided,Category,Preferred Vendor,Historical Spend,Exclusivity,Engagement Terms,Supported BSLs
C041,Cisco,2024-09-01,2027-08-31,Network infrastructure and security services,"$55,000","High-speed networking, Enhanced security protocols",Cisco Network Manager,Network and Security Services,Yes,"$110,000",No,Full network support and security management,"IT, Security"
C042,Adobe,2024-10-01,2027-09-30,Creative and design software services,"$32,000","Graphic design, Video editing",Adobe Creative Cloud,Creative Software,Yes,"$80,000",No,Subscription-based access,"Marketing, Design"
C043,Microsoft,2024-11-01,2027-10-31,Productivity software services,"$45,000","Office applications, Cloud storage",Microsoft 365,Productivity Software,Yes,"$95,000",No,Full suite access and technical support,All departments
C044,Salesforce,2024-12-01,2027-11-30,Customer relationship management services,"$62,000","CRM tools, Analytics",Salesforce CRM,CRM Software,Yes,"$120,000",No,Comprehensive CRM solutions,"Sales, Marketing"
C045,Google,2025-01-01,2027-12-31,Cloud computing and advertising services,"$67,000","Cloud services, Online advertising",Google Cloud Platform,Cloud Services,Yes,"$130,000",No,Cloud infrastructure and digital marketing,"IT, Marketing"
C046,Autodesk,2025-02-01,2028-01-31,Engineering software services,"$37,000","CAD tools, 3D design",AutoCAD,Engineering Software,Yes,"$73,000",No,Design and engineering software tools,"Engineering, Design"
C047,Shopify,2025-03-01,2028-02-28,E-commerce platform services,"$28,000","Online store management, Payments gateway",Shopify,E-commerce Services,Yes,"$55,000",No,Complete e-commerce solutions,"Retail, Marketing"
C048,Zoom,2025-04-01,2028-03-31,Video conferencing services,"$23,000","HD video, Large meeting capacity",Zoom Video Communications,Video Conferencing,Yes,"$46,000",No,Video and web conferencing services,All departments
C049,HubSpot,2025-05-01,2028-04-30,Marketing automation services,"$51,000","Marketing tools, CRM",HubSpot CRM,Marketing Automation,Yes,"$102,000",No,Marketing and sales automation tools,"Marketing, Sales"
C050,Lenovo,2025-06-01,2028-05-31,Computer hardware and support services,"$40,000","PCs, Servers, Technical support",Lenovo Enterprise Systems,Hardware and Support,Yes,"$80,000",No,Comprehensive hardware solutions and support,"IT, Operations"
C051,Siemens,2025-07-01,2028-06-30,Industrial automation and digitalization services,"$75,000","Automation systems, Digital solutions",Siemens Digital Industries,Industrial Services,Yes,"$145,000",No,Industrial automation and smart factory solutions,"Manufacturing, Technology"
C052,T-Mobile,2025-08-01,2028-07-31,Telecommunications and mobile services,"$30,000","Mobile networks, 5G services",T-Mobile Network Services,Telecommunications,Yes,"$60,000",No,Mobile network access and support,Communications
C053,Asana,2025-09-01,2028-08-31,Project and task management services,"$25,000","Task tracking, Collaboration tools",Asana,Project Management Software,Yes,"$50,000",No,Task and project management solutions,Project Teams
C054,Squarespace,2025-10-01,2028-09-30,Website building and hosting services,"$19,000","Website design, Hosting services",Squarespace,Website Services,Yes,"$38,000",No,Website design and management tools,"Marketing, IT"
C055,AMD,2025-11-01,2028-10-31,Semiconductor and microprocessor services,"$44,000","CPUs, GPUs, Technical support",AMD Technologies,Semiconductor Services,Yes,"$88,000",No,High-performance computing solutions,"IT, Engineering"
C056,PayPal,2025-12-01,2028-11-30,Online payment processing services,"$26,000","Payment gateway, Financial analytics",PayPal Gateway Services,Financial Services,Yes,"$52,000",No,Secure online transaction services,"E-commerce, Finance"
C057,Stripe,2026-01-01,2028-12-31,Payment infrastructure services,"$35,000","Payment processing, APIs",Stripe API,Payment Services,Yes,"$70,000",No,Payment processing solutions for developers,"Developers, E-commerce"
C058,Square,2026-02-01,2029-01-31,Point of sale and financial services,"$33,000","POS systems, Financial tools",Square POS,Retail and Financial,Yes,"$66,000",No,Retail and financial integration solutions,"Retail, Finance"
C059,Figma,2026-03-01,2029-02-28,Interactive design and prototyping services,"$27,000","UI/UX design tools, Prototyping",Figma,Design Software,Yes,"$54,000",No,Collaborative design and prototyping tools,"Design, Development"
C060,Notion,2026-04-01,2029-03-31,All-in-one workspace services,"$24,000","Note-taking, Databases, Task management",Notion,Productivity Software,Yes,"$48,000",No,Integrated workspace for teams and individuals,All departments
