Contract ID,Vendor Name,Start Date,End Date,Services Provided,Annual Spend,Features,Software Provided,Category,Preferred Vendor,Historical Spend,Exclusivity,Engagement Terms,Supported BSLs
C021,Cisco,2023-01-01,2025-12-31,Network infrastructure and security services,"$50,000","High-speed networking, Enhanced security protocols",Cisco Network Manager,Network and Security Services,Yes,"$100,000",No,Full network support and security management,"IT, Security"
C022,Adobe,2023-02-01,2026-01-31,Creative and design software services,"$30,000","Graphic design, Video editing",Adobe Creative Cloud,Creative Software,Yes,"$75,000",No,Subscription-based access,"Marketing, Design"
C023,Microsoft,2023-03-01,2026-02-28,Productivity software services,"$40,000","Office applications, Cloud storage",Microsoft 365,Productivity Software,Yes,"$90,000",No,Full suite access and technical support,All departments
C024,Salesforce,2023-04-01,2026-03-31,Customer relationship management services,"$60,000","CRM tools, Analytics",Salesforce CRM,CRM Software,Yes,"$110,000",No,Comprehensive CRM solutions,"Sales, Marketing"
C025,IBM,2023-05-01,2026-04-30,AI and data analysis services,"$70,000","AI modeling, Data analytics",IBM Watson,AI and Data Services,Yes,"$120,000",No,AI tools and data analysis services,"IT, Data Analysis"
C026,Oracle,2023-06-01,2026-05-31,Database management services,"$55,000","Database hosting, Security features",Oracle Database Service,Database Services,Yes,"$105,000",No,Database setup and maintenance,"IT, Security"
C027,Intuit,2023-07-01,2026-06-30,Financial software services,"$25,000","Financial planning, Tax tools",QuickBooks,Financial Services,Yes,"$50,000",No,Financial tools and resources,Finance
C028,Slack,2023-08-01,2026-07-31,Communication platform services,"$20,000","Messaging, Integration tools",Slack,Communication Software,Yes,"$40,000",No,Messaging and collaboration tools,All departments
C029,Zoom,2023-09-01,2026-08-31,Video conferencing services,"$22,000","HD video, Large meeting capacity",Zoom Video Communications,Video Conferencing,Yes,"$45,000",No,Video and web conferencing services,All departments
C030,Atlassian,2023-10-01,2026-09-30,Project management services,"$33,000","Agile tools, Project tracking",Jira,Project Management Software,Yes,"$65,000",No,Project management and collaboration tools,"IT, Development"
C031,Symantec,2023-11-01,2026-10-31,Security software services,"$47,000","Antivirus, Endpoint protection",Symantec Security,Security Software,Yes,"$88,000",No,Security and threat protection services,"IT, Security"
C032,Autodesk,2023-12-01,2026-11-30,Engineering software services,"$35,000","CAD tools, 3D design",AutoCAD,Engineering Software,Yes,,,,
C033,SAP,2024-01-01,2026-12-31,Enterprise resource planning services,"$80,000","ERP solutions, Data management",SAP ERP,ERP Software,Yes,"$150,000",No,Comprehensive ERP systems,All departments
C034,HubSpot,2024-02-01,2027-01-31,Marketing automation services,"$50,000","Marketing tools, CRM",HubSpot CRM,Marketing Automation,Yes,"$100,000",No,Marketing and sales automation tools,"Marketing, Sales"
C035,Tableau,2024-03-01,2027-02-28,Data visualization services,"$40,000","Interactive dashboards, Analytics",Tableau Software,Data Visualization,Yes,"$85,000",No,Data analytics and visualization tools,Data Analysis
C036,Palantir,2024-04-01,2027-03-31,Data integration and analysis services,"$90,000","Data integration, Big data solutions",Palantir Gotham,Data Management Software,Yes,"$180,000",No,Advanced data analysis and management,"Intelligence, Security"
C037,Veritas,2024-05-01,2027-04-30,Data protection services,"$45,000","Data backup, Disaster recovery",Veritas NetBackup,Data Protection,Yes,"$95,000",No,Data backup and recovery services,"IT, Security"
C038,Red Hat,2024-06-01,2027-05-31,Open-source software services,"$38,000","OS solutions, Middleware",Red Hat Enterprise Linux,Open-source Software,Yes,"$76,000",No,Enterprise open-source solutions,"IT, Development"
C039,VMware,2024-07-01,2027-06-30,Cloud computing and virtualization services,"$65,000","Virtual machines, Cloud infrastructure",VMware vSphere,Cloud and Virtualization,Yes,"$130,000",No,Virtual infrastructure management,"IT, Cloud Services"
C040,Qualtrics,2024-08-01,2027-07-31,Experience management services,"$28,000","Survey tools, Experience data analysis",Qualtrics XM,Experience Management,Yes,"$56,000",No,Customer and employee experience tools,"HR, Customer Service"
